SEGMENT_ID|序号|speaker|claim_type|primary_factor|secondary_factor_id|secondary_factor_label|direction|magnitude|time_horizon|confidence|summary_20_50字|raw_text_原文关键句
2026-04-10_01|001|共识|方向判断|市场情绪因子|MS_010|区间判断|中性|显著|中期|0.8|当前债市整体呈现结构性分化格局而非典型单边行情，预计将维持震荡|当前债市整体呈现结构性分化格局，而非典型的单边多头或空头行情。市场已度过赔率最丰厚的阶段，预计将维持震荡
2026-04-10_01|002|共识|方向判断|市场情绪因子|MS_005|赔率与胜率判断|中性|显著|中期|0.8|债市赔率最丰厚阶段已过，业绩分化可能持续|市场已度过赔率最丰厚的阶段，预计将维持震荡，业绩分化可能持续
2026-04-10_01|003|共识|因果链条|市场情绪因子|MS_001|风险偏好变化|中性|一般|中期|0.75|早期地缘政治冲突主导定价逻辑逐步淡化，国内资金面宽松成核心支撑|驱动市场的主线正在发生变化：早期由地缘政治冲突等因素主导的定价逻辑逐步淡化，国内资金面的宽松程度已成为当前市场的核心支撑和主要观察维度
2026-04-10_01|004|共识|事实判断|流动性因子|LQ_001|资金面判断|利多|一般|短期|0.8|银行体系流动性保持均衡偏松，低资金利率支撑短端资产|银行体系流动性目前保持均衡偏松，低资金利率是支撑短端资产的坚实基础
2026-04-10_01|005|共识|事实判断|政策面因子|PL_006|央行态度与信号|中性|边际|短期|0.75|央行公开市场操作侧重引导利率在政策利率附近运行，未主动大幅收紧|央行的公开市场操作更侧重于引导利率在政策利率附近运行，并未主动大幅收紧
2026-04-10_01|006|共识|条件触发判断|流动性因子|LQ_001|资金面判断|利多|边际|短期|0.75|资金面易松难紧但边际变化至关重要，4月税期是检验资金面持续性的关键窗口|资金面虽然易松难紧，但其边际变化至关重要，即将到来的4月税期被视为检验资金面持续性的关键窗口
2026-04-10_01|007|共识|事实判断|机构行为因子|IB_012|配置盘行为|中性|一般|中期|0.75|机构行为分化显著，理财流入、保险配超长债、基金行为差异共同影响市场|机构行为的分化被普遍视为重要的市场观察变量。理财资金的流入、保险对超长债的配置、以及基金行为的差异共同影响着市场
2026-04-10_01|008|共识|风险提示|基本面因子|FD_007|通胀|中性|边际|中期|0.7|地缘冲突影响虽已钝化但仍通过油价等渠道对通胀预期产生间歇性扰动|外部因素如地缘冲突的影响虽已钝化，但仍会通过油价等渠道对通胀预期产生间歇性扰动
2026-04-10_02|001|赵骥|方向判断|市场情绪因子|MS_010|区间判断|中性|显著|中期|0.8|多空共识聚焦于资金面宽松支撑短端、长端受多重因素扰动，整体为结构性分化|第一层共识为资金面宽松对短端有支撑，第二层共识为长端受地缘政治冲突、PPI及供给风险偏好等多重因素扰动
2026-04-10_02|002|赵骥|因果链条|流动性因子|LQ_001|资金面判断|利多|一般|短期|0.8|资金链持续宽松时短端和信用票息类资产占优|资金链持续宽松时短端和信用票息类资产占优
2026-04-10_02|003|赵骥|方向判断|基本面因子|FD_002|通胀走势|利多|边际|短期|0.75|CPI、PPI数据公布未超预期，长端上行压力有限|CPI、PPI等数据公布未超预期，长端上行压力有限
2026-04-10_02|004|赵骥|条件触发判断|市场情绪因子|MS_001|风险偏好变化|利多|一般|短期|0.7|地缘冲突若再度升级，长端超长端有交易性机会|地缘冲突若再度升级，长端超长端有交易性机会
2026-04-10_02|005|赵骥|验证指标|流动性因子|LQ_001|资金面判断|中性|一般|短期|0.8|4月税期是验证资金面的重要窗口期|4月税期是验证资金面的重要窗口期
2026-04-10_02|006|赵骥|验证指标|市场情绪因子|MS_012|止盈/止损行为|利空|边际|短期|0.75|券商逐渐平30年超长端空头，基金参与30年往往预示行情接近顶峰|券商在逐渐平30年超长端空头、基金参与30年往往预示行情接近顶峰需关注谁接最后一棒
2026-04-10_02|007|赵骥|方向判断|流动性因子|LQ_001|资金面判断|利多|边际|中期|0.75|资金链易松难紧且为慢变量，一旦拐点持续性比预期更长|资金链易松难紧且为慢变量，一旦出现拐点持续性会比预期更长
2026-04-10_02|008|赵骥|方向判断|市场情绪因子|MS_001|风险偏好变化|中性|边际|中期|0.75|地缘风险对各类资产影响已逐步钝化，回归国内自身逻辑|地缘风险对各类资产的影响已逐步钝化，回归国内自身逻辑
2026-04-10_02|009|赵骥|交易表达|市场情绪因子|MS_004|久期策略|中性|一般|中期|0.75|债市赔率最高阶段已过，在看不清方向时先降仓观望，精细化结构管理应对震荡|债市赔率最高阶段已过，各产品业绩分化将持续，在看不清方向时先降仓观望，通过精细化结构管理应对震荡格局
