# 2026-04-03 会议纪要观点原子提取
# source_doc_id: 20260403_B01
# 提取日期: 2026-04-21

SEGMENT_ID|序号|speaker|claim_type|primary_factor|secondary_factor_id|secondary_factor_label|direction|magnitude|time_horizon|confidence|summary_20_50字|raw_text_原文关键句

# Segment 2026-04-03_01 - 会议共识
2026-04-03_01|001|共识|方向判断|市场情绪因子|MS_001|风险偏好变化|中性|显著|短期(1M以内)|0.7|市场处于多空激烈博弈的拉锯状态，分歧显著|当前市场处于 "多空激烈博弈" 的拉锯状态，分歧显著
2026-04-03_01|002|共识|事实判断|市场情绪因子|MS_001|风险偏好变化|中性|显著|短期(1M以内)|0.8|核心矛盾在于确定性高的短端与扰动多的长端之间的分化|核心矛盾在于 "确定性高的短端" 与 "扰动多的长端" 之间的分化
2026-04-03_01|003|共识|因果链条|市场情绪因子|MS_001|风险偏好变化|利空|显著|短期(1M以内)|0.7|地缘政治、输入性通胀和国内经济内需持续性构成市场主要不确定性来源|地缘政治（美伊冲突）、输入性通胀（油价）和国内经济内需的持续性，共同构成了市场的主要不确定性来源
2026-04-03_01|004|共识|交易表达|机构行为因子|IB_012|配置盘行为|中性|显著|短期(1M以内)|0.75|采取防御性姿态、多看少动、避免单边押注成为普遍认同的基调|采取防御性姿态、多看少动、避免单边押注成为普遍认同的基调
2026-04-03_01|005|共识|方向判断|市场情绪因子|MS_003|拥挤交易程度|中性|显著|短期(1M以内)|0.7|全球资产进入贝叶斯定价模式，波动率攀升，传统分析框架面临挑战|全球资产进入"贝叶斯定价"模式，波动率攀升，传统分析框架面临挑战
2026-04-03_01|006|共识|交易表达|机构行为因子|IB_012|配置盘行为|利多|显著|短期(1M以内)|0.75|策略整体转向防御与务实，投资操作上应以票息策略为主|投资操作上，普遍认为应以票息策略为主，利用宽松资金环境获取稳定收益

# Segment 2026-04-03_02 - 赵骥
2026-04-03_02|001|赵骥|方向判断|市场情绪因子|MS_001|风险偏好变化|中性|显著|短期(1M以内)|0.7|本周多空观点分歧较前两周明显扩大|本周多空观点分歧较前两周明显扩大
2026-04-03_02|002|赵骥|事实判断|流动性因子|LQ_001|资金面判断|利多|显著|短期(1M以内)|0.8|当前短端资产下行不再依赖央行降息降准，而是银行体系资金实质性宽松|当前短端资产下行不再依赖央行降息降准，而是银行体系资金实质性宽松（回购利率、同业存单利率同步下行，Shibor作为FTP定价锚引导资产负债两端定价）
2026-04-03_02|003|赵骥|因果链条|流动性因子|LQ_001|资金面判断|利多|显著|短期(1M以内)|0.75|资金宽松主因：高息定存到期后约90%-95%以短期低息负债形式留存银行体系|资金宽松主因有二：一是高息定存到期后约90%-95%以短期低息负债形式留存银行体系
2026-04-03_02|004|赵骥|因果链条|流动性因子|LQ_001|资金面判断|利多|显著|短期(1M以内)|0.7|人民币兑美元汇率从7.0升值至6.87附近，结售汇因素对流动性形成隐性补充|二是人民币兑美元汇率从7.0升值至6.87附近，结售汇因素对流动性形成隐性补充
2026-04-03_02|005|赵骥|验证指标|市场情绪因子|MS_007|机构行为分析|中性|显著|短期(1M以内)|0.7|超长债基金参与占比下降、券商自营借贷集中度高反映市场分歧加大|市场数据验证观点（如超长债基金参与占比下降、券商自营借贷集中度高反映市场分歧加大）
2026-04-03_02|006|赵骥|风险提示|机构行为因子|IB_009|绝对收益约束|中性|显著|中期(1-3M)|0.65|若因看空错过机会需提前规划追赶业绩路径，明确安全边际与止损线|若因看空错过机会需提前规划追赶业绩路径，明确安全边际与止损线，避免被动追高

# Segment 2026-04-03_03 - 张晶
2026-04-03_03|001|张晶|事实判断|政策面因子|PL_010|政策预期|中性|显著|短期(1M以内)|0.7|清明节后再下一周将召开政治局会议，4月中下旬政策端或经济基本面可能小幅发酵|清明节后再下一周将召开政治局会议，4月中下旬的政策端或经济基本面可能出现小幅发酵
2026-04-03_03|002|张晶|方向判断|政策面因子|PL_010|政策预期|中性|一般|短期(1M以内)|0.65|政策端与流动性评估均给予相对中性的3分判断|政策端与流动性评估均给予相对中性的3分判断
2026-04-03_03|003|张晶|方向判断|基本面因子|FD_001|经济评估|中性|一般|短期(1M以内)|0.65|基本面因高度不确定环境持续给予2分评级|基本面则因高度不确定环境持续给予2分评级
2026-04-03_03|004|张晶|事实判断|基本面因子|FD_005|经济增长动能|利多|显著|中期(1-3M)|0.7|中游制造业供需格局处于过去十余年最佳状态|结构性来看，中游制造业供需格局处于过去十余年最佳状态
2026-04-03_03|005|张晶|方向判断|基本面因子|FD_007|通胀|利空|显著|中期(1-3M)|0.7|价格上涨的持续性在未来两个季度内或难被证伪，PPI内生修复|即便受地缘冲突影响，价格上涨的持续性在未来两个季度内或难被证伪，PPI内生修复、中游PMI改善及工业企业利润回升等数据所体现的内生性修复
2026-04-03_03|006|张晶|方向判断|市场情绪因子|MS_001|风险偏好变化|中性|显著|短期(1M以内)|0.75|全球资产已进入贝叶斯定价模式，各类资产波动率大幅攀升、相关性紊乱|当前全球资产已进入"贝叶斯定价模式"，即依据高频涌现的新信息以日度频度动态修正资产价格，导致各类资产波动率大幅攀升、相关性紊乱
2026-04-03_03|007|张晶|交易表达|机构行为因子|IB_012|配置盘行为|利多|显著|短期(1M以内)|0.75|策略宜转为防御与务实，建议采用中短久期配置以规避长端利率的不确定性|策略宜转为防御与务实，建议采用中短久期配置以规避长端利率的不确定性，同时利用当前仍显宽松的资金环境获取稳定的票息收入

# Segment 2026-04-03_04 - 沈文思 结论
2026-04-03_04|001|沈文思|事实判断|基本面因子|FD_001|经济评估|利多|一般|短期(1M以内)|0.7|3月经济基本面呈现产需修复、出口韧性与上游价格回升的积极信号|3月经济基本面呈现产需修复、出口韧性与上游价格回升的积极信号
2026-04-03_04|002|沈文思|方向判断|基本面因子|FD_001|经济评估|中性|一般|短期(1M以内)|0.65|内需持续性仍待观察|但内需持续性仍待观察
2026-04-03_04|003|沈文思|交易表达|机构行为因子|IB_012|配置盘行为|利多|显著|短期(1M以内)|0.75|在地缘政治不确定性加剧的背景下，债市策略宜保持防御姿态，建议仍以中端信用为底仓进行配置|在地缘政治不确定性加剧的背景下，债市策略宜保持防御姿态，建议仍以中端信用为底仓进行配置

# Segment 2026-04-03_05 - 沈文思 具体分析
2026-04-03_05|001|沈文思|验证指标|基本面因子|FD_001|经济评估|利多|显著|短期(1M以内)|0.8|3月制造业PMI录得50.4，较2月显著回升1.4个百分点，产需双双修复|3月制造业PMI录得50.4，较2月显著回升1.4个百分点，在春节落在2月的年份中回升幅度略超季节性，结构上产需双双修复
2026-04-03_05|002|沈文思|验证指标|基本面因子|FD_007|通胀|利空|显著|短期(1M以内)|0.75|国际油价上涨推动原材料购进价格显著提升，3月PPI同比转正及平减指数重回1%以上已基本确认|国际油价上涨推动原材料购进价格显著提升，3月PPI同比转正及平减指数重回1%以上已基本确认
2026-04-03_05|003|沈文思|事实判断|基本面因子|FD_006|出口数据|利多|显著|短期(1M以内)|0.75|出口大概率维持总量韧性，PMI出口指数回升幅度创近年同期新高|出口大概率维持总量韧性，PMI出口指数回升幅度创近年同期新高，叠加韩国出口显示人工智能相关商品稳健
2026-04-03_05|004|沈文思|方向判断|基本面因子|FD_001|经济评估|中性|一般|短期(1M以内)|0.65|内需方面仍存不确定性，新订单、服务业及建筑业虽季节性改善但持续性有待验证|内需方面仍存不确定性：新订单、服务业及建筑业虽季节性改善，但持续性有待验证
2026-04-03_05|005|沈文思|方向判断|基本面因子|FD_003|经济修复斜率|中性|边际|短期(1M以内)|0.6|地产"小阳春"集中于上海及部分二线城市，呈现量升价稳特征|地产"小阳春"集中于上海及部分二线城市，呈现量升价稳特征
2026-04-03_05|006|沈文思|方向判断|基本面因子|FD_001|经济评估|中性|一般|短期(1M以内)|0.65|消费指标整体偏弱，预计3月社零同比约2%|消费指标整体偏弱，预计3月社零同比约2%
2026-04-03_05|007|沈文思|方向判断|基本面因子|FD_005|经济增长动能|利多|一般|中期(1-3M)|0.7|基建投资有望保持韧性，成为稳增长重要支撑|固定资产投资或受地产拖累，但基建投资有望保持韧性，成为稳增长重要支撑
2026-04-03_05|008|沈文思|风险提示|市场情绪因子|MS_001|风险偏好变化|利空|显著|短期(1M以内)|0.75|特朗普就美伊冲突发表全国讲话，市场解读为强硬升级信号，避险情绪显著升温|特朗普就美伊冲突发表全国讲话，市场解读为强硬升级信号，其明确给出未来两至三周的时间框架，导致资产价格剧烈波动
2026-04-03_05|009|沈文思|方向判断|流动性因子|LQ_001|资金面判断|利多|显著|短期(1M以内)|0.75|央行宽松取向未变，经济收紧概率较低，短端资产相对更安全|央行宽松取向未变，经济收紧概率较低，短端资产相对更安全
2026-04-03_05|010|沈文思|交易表达|机构行为因子|IB_012|配置盘行为|利多|显著|短期(1M以内)|0.75|当前宜采取防御性姿态，不对单一事件做单边押注，中短久期信用债仍可作为底仓配置|当前宜采取防御性姿态，不对单一事件做单边押注，中短久期信用债仍可作为底仓配置

# Segment 2026-04-03_06 - 徐天彤 结论
2026-04-03_06|001|徐天彤|方向判断|流动性因子|LQ_001|资金面判断|利多|显著|短期(1M以内)|0.8|当前银行体系流动性保持均衡偏松格局，央行公开市场操作更注重价格引导而非数量投放，短端资产确定性较高|当前银行体系流动性保持均衡偏松格局，央行公开市场操作更注重价格引导而非数量投放，短端资产确定性较高
2026-04-03_06|002|徐天彤|方向判断|市场情绪因子|MS_001|风险偏好变化|中性|显著|短期(1M以内)|0.65|长端债券受通胀预期、供给压力及地缘政治等多重因素扰动，趋势性机会有限|长端债券受通胀预期、供给压力及地缘政治等多重因素扰动，趋势性机会有限
2026-04-03_06|003|徐天彤|交易表达|机构行为因子|IB_012|配置盘行为|中性|显著|短期(1M以内)|0.7|建议维持防御配置策略|建议维持防御配置策略

# Segment 2026-04-03_07 - 徐天彤 具体分析
2026-04-03_07|001|徐天彤|事实判断|流动性因子|LQ_002|央行投放节奏|利多|一般|短期(1M以内)|0.75|本周央行连续开展小额逆回购操作并全额满足一级交易商需求，缩量并非政策取向收紧|本周央行连续开展小额逆回购操作并全额满足一级交易商需求，缩量并非政策取向收紧，而是机构基于自身流动性管理未报送资金需求
2026-04-03_07|002|徐天彤|方向判断|流动性因子|LQ_002|央行投放节奏|中性|一般|短期(1M以内)|0.7|央行更关注引导隔夜利率在政策利率附近运行，公开市场操作体现灵活精准、价重于量的思路|央行更关注引导隔夜利率在政策利率附近运行，公开市场操作体现灵活精准、价重于量的思路
2026-04-03_07|003|徐天彤|验证指标|流动性因子|LQ_001|资金面判断|利多|显著|短期(1M以内)|0.8|加权资金利率降至1.27附近，大型银行融出规模月初已恢复至5万亿水平|加权资金利率降至1.27附近，大型银行融出规模月初已恢复至5万亿水平，符合季度末后季节性回升规律
2026-04-03_07|004|徐天彤|方向判断|政策面因子|PL_006|央行态度与信号|中性|一般|短期(1M以内)|0.7|一季度货币政策例会表述延续中央经济工作会议和政府工作报告基调，仅增加对外部冲击的关注|一季度货币政策例会表述延续中央经济工作会议和政府工作报告基调，仅增加对外部冲击的关注，央行对此保持观望
2026-04-03_07|005|徐天彤|方向判断|流动性因子|LQ_001|资金面判断|利多|一般|短期(1M以内)|0.7|下周影响资金面因素有限，预计维持均衡或偏松状态|下周影响资金面因素有限，预计维持均衡或偏松状态
2026-04-03_07|006|徐天彤|条件触发判断|流动性因子|LQ_002|央行投放节奏|中性|一般|短期(1M以内)|0.65|需重点关注3个月买断式回购1.1万亿到期续作情况|需重点关注3个月买断式回购1.1万亿到期续作情况
2026-04-03_07|007|徐天彤|事实判断|机构行为因子|IB_001|基金久期偏好|利多|一般|短期(1M以内)|0.75|基金延续净买入趋势，以10年内政金债和3年内信用债为主|基金延续净买入趋势，以10年内政金债和3年内信用债为主
2026-04-03_07|008|徐天彤|事实判断|机构行为因子|IB_012|配置盘行为|利多|一般|短期(1M以内)|0.7|保险继续配置超长地方债，同业存单获大额买入|保险继续配置超长地方债，大行卖出国债及政金债、中小行侧重短期限利率债配置，同业存单获大额买入
2026-04-03_07|009|徐天彤|方向判断|机构行为因子|IB_003|赎回与资金流向|利多|边际|短期(1M以内)|0.7|固收加产品由赎回转为小幅申购，对债市压力边际减轻|固收加产品由赎回转为小幅申购，对债市压力边际减轻
2026-04-03_07|010|徐天彤|风险提示|市场情绪因子|MS_001|风险偏好变化|中性|显著|短期(1M以内)|0.65|长端及超长端受中东局势、油价波动、风险偏好变化及二季度国债发行计划影响|长端及超长端受中东局势、油价波动、风险偏好变化及二季度国债发行计划影响，超长端调整相对更多
2026-04-03_07|011|徐天彤|交易表达|机构行为因子|IB_012|配置盘行为|利多|显著|短期(1M以内)|0.75|资金面支撑下短端确定性较高，建议关注跨机构冲量资金赎回影响，维持防御性配置思路|资金面支撑下短端确定性较高，银行体系流动性充裕且季末考核压力缓解，建议关注跨机构冲量资金赎回影响，维持防御性配置思路

# Segment 2026-04-03_08 - 项墩伟 结论
2026-04-03_08|001|项墩伟|方向判断|流动性因子|LQ_001|资金面判断|利多|显著|短期(1M以内)|0.8|当前债市短端韧性强于长端，资金面稳定偏松构成最大确定性|当前债市短端韧性强于长端，资金面稳定偏松构成最大确定性
2026-04-03_08|002|项墩伟|交易表达|机构行为因子|IB_012|配置盘行为|利多|显著|短期(1M以内)|0.75|短信用债虽利差偏低但走阔风险有限，仍是底仓首选|短信用债虽利差偏低但走阔风险有限，仍是底仓首选
2026-04-03_08|003|项墩伟|交易表达|机构行为因子|IB_012|配置盘行为|利多|一般|短期(1M以内)|0.7|二永及10年期国开债相对长端及超长国债更具配置价值|二永及10年期国开债相对长端及超长国债更具配置价值，若供给扰动引发调整可关注逢高布局机会

# Segment 2026-04-03_09 - 项墩伟 具体分析
2026-04-03_09|001|项墩伟|方向判断|市场情绪因子|MS_009|信用利差|中性|一般|短期(1M以内)|0.7|1Y中高等级普信处于近一年40%-50%分位数，3Y中高等级处于近一年30%分位数|利差分位数方面，1Y中高等级普信处于近一年40%-50%分位数，3Y中高等级处于近一年30%分位数
2026-04-03_09|002|项墩伟|方向判断|市场情绪因子|MS_009|信用利差|中性|一般|短期(1M以内)|0.65|5Y处于20%以内偏低分位数，等级利差仍处于低位，进一步下沉空间有限|5Y处于20%以内偏低分位数，同时等级利差仍处于低位，进一步下沉空间有限
2026-04-03_09|003|项墩伟|验证指标|机构行为因子|IB_002|信用利差机会|中性|一般|短期(1M以内)|0.7|3Y及5YAAA-二债利差均处于近一年63%左右分位数|目前3Y及5YAAA-二债利差均处于近一年63%左右分位数，短线看则处于20日均值下方（中性信号）
2026-04-03_09|004|项墩伟|方向判断|市场情绪因子|MS_001|风险偏好变化|中性|显著|短期(1M以内)|0.65|目前债市存在较大的分歧，对于地缘因素持续时间及影响，输入性通胀的影响市场存在不同的解读|目前债市存在较大的分歧，对于地缘因素持续时间及影响，输入性通胀的影响市场存在不同的解读
